date,cpi,development,hampel_clean,hampel_flag,hampel_score,adaptive_clean,adaptive_flag,adaptive_score,selected_clean,fitted,residual_original
2013-02-01,99.9,True,99.9,False,0.6744907594765952,99.9,False,0.6744907594765952,99.9,100.99538791130699,-1.095387911306986
2013-03-01,100.0,True,100.0,False,0.0,100.0,False,0.0,100.0,100.88740382984352,-0.887403829843521
2013-04-01,100.0,True,100.0,False,0.0,100.0,False,0.0,100.0,100.73827624013374,-0.738276240133743
2013-05-01,100.1,True,100.1,False,0.6744907594765952,100.1,False,0.6744907594765952,100.1,100.58796375940958,-0.48796375940958114
2013-06-01,100.0,True,100.0,False,0.22483025315885444,100.0,False,0.0,100.0,100.47674249549341,-0.4767424954934114
2013-07-01,99.9,True,99.9,False,0.6744907594765633,99.9,False,0.6744907594765633,99.9,100.43441409623274,-0.5344140962327373
2013-08-01,99.3,True,100.05,True,3.3724537973831676,99.3,False,3.3724537973831676,100.05,100.47232042202636,-1.1723204220263597
2013-09-01,100.0,True,100.0,False,0.5058680696074583,100.0,False,0.26979630379062275,100.0,100.58030450348983,-0.5803045034898275
2013-10-01,100.4,True,100.4,False,0.843113449345732,100.4,False,0.843113449345732,100.4,100.7294320931996,-0.32943209319959976
2013-11-01,100.2,True,100.2,False,0.22483025315887573,100.2,False,0.22483025315887573,100.2,100.87974457392377,-0.6797445739237702
2013-12-01,100.5,True,100.5,False,0.3854232911294517,100.5,False,0.3854232911294517,100.5,100.99096583783994,-0.4909658378399371
2014-01-01,100.2,True,100.2,False,0.3372453797382976,100.2,False,0.3372453797382976,100.2,101.0332942371006,-0.8332942371006027
